# Residuals   
# Time        	p_rgh         
0             	N/A
1.19904e-05   	9.999997e-01
2.63616e-05   	5.998103e-01
4.35873e-05   	2.552932e-01
6.42437e-05   	1.994566e-01
8.90212e-05   	1.632120e-01
0.000118695   	1.454530e-01
0.000154239   	1.322955e-01
0.000196861   	1.247943e-01
0.000247919   	1.242126e-01
0.000307383   	1.338032e-01
0.000375164   	2.508637e-01
0.00045095    	6.606185e-01
0.000534714   	9.485571e-01
0.000580886   	9.623168e-01
0.000602842   	9.331852e-01
0.000628801   	8.899825e-01
0.000659934   	9.336069e-01
0.000695858   	9.517252e-01
0.000730836   	9.499773e-01
0.000753388   	9.219487e-01
0.000779362   	9.208711e-01
0.000809593   	9.338039e-01
0.000843506   	9.450618e-01
0.000870047   	9.304889e-01
0.000897713   	9.304312e-01
0.000925635   	9.318196e-01
0.000952967   	9.319413e-01
0.000979893   	9.288145e-01
0.00100799    	9.319076e-01
0.00103347    	9.253445e-01
0.00106175    	9.298788e-01
0.00108851    	9.282901e-01
0.00111602    	9.278587e-01
0.00114294    	9.255493e-01
0.00117053    	9.259331e-01
0.00119761    	9.239063e-01
0.00122512    	9.243935e-01
0.00125263    	9.223839e-01
0.00127997    	9.219841e-01
0.00130774    	9.204415e-01
0.00133456    	9.184774e-01
0.0013627     	9.183411e-01
0.00138936    	9.160076e-01
0.00141777    	9.165647e-01
0.00144435    	9.138934e-01
0.00147296    	9.157410e-01
0.00149952    	9.131259e-01
0.0015273     	9.119706e-01
0.00155499    	9.133636e-01
0.0015818     	9.097134e-01
0.00160996    	9.109686e-01
0.00163676    	9.082897e-01
0.00166464    	9.072281e-01
0.00169188    	9.062954e-01
0.00171957    	9.045430e-01
0.00174699    	9.026923e-01
0.00177459    	9.016899e-01
0.00180219    	9.006350e-01
0.00182943    	8.988673e-01
0.00185657    	8.968971e-01
0.00188427    	8.968924e-01
0.00191124    	8.942172e-01
0.00193922    	8.948988e-01
0.00196609    	8.915743e-01
0.00199428    	8.920480e-01
0.00202115    	8.891587e-01
0.00204924    	8.892165e-01
0.00207638    	8.871528e-01
0.00210438    	8.880734e-01
0.0021316     	8.868784e-01
0.00215902    	8.853513e-01
0.00218653    	8.836967e-01
0.00221385    	8.820008e-01
0.00224117    	8.794622e-01
0.00226888    	8.784410e-01
0.00229601    	8.757777e-01
0.00232392    	8.758877e-01
0.00235095    	8.735410e-01
0.00237917    	8.748765e-01
0.0024061     	8.723455e-01
0.00243382    	8.719422e-01
0.00246074    	8.687291e-01
0.00248836    	8.675235e-01
0.00251568    	8.660815e-01
0.00254309    	8.650942e-01
0.00257061    	8.635651e-01
0.00259792    	8.617150e-01
0.00262575    	8.615600e-01
0.00265296    	8.604343e-01
0.002681      	8.616558e-01
0.00270821    	8.606987e-01
0.00273593    	8.607274e-01
0.00276355    	8.615907e-01
0.00279046    	8.584391e-01
0.00281819    	8.582685e-01
0.00284529    	8.559328e-01
0.0028728     	8.552353e-01
0.00290022    	8.534357e-01
0.00292763    	8.524254e-01
0.00295515    	8.508457e-01
0.00298245    	8.498929e-01
0.0030103     	8.493384e-01
0.0030376     	8.491647e-01
0.00306557    	8.490296e-01
0.00309276    	8.486017e-01
0.00312084    	8.488599e-01
0.00314814    	8.489435e-01
0.00317599    	8.483219e-01
0.00320351    	8.486285e-01
0.00323091    	8.467803e-01
0.00325832    	8.451201e-01
0.00328583    	8.440602e-01
0.00331313    	8.428934e-01
0.00334087    	8.426826e-01
0.00336805    	8.412031e-01
0.0033958     	8.399480e-01
0.00342321    	8.390692e-01
0.00345084    	8.376844e-01
0.00347824    	8.365608e-01
0.00350588    	8.347595e-01
0.00353351    	8.342886e-01
0.00356103    	8.327844e-01
0.0035889     	8.328173e-01
0.00361642    	8.322384e-01
0.00364442    	8.326604e-01
0.00367181    	8.319935e-01
0.00369994    	8.326658e-01
0.00372745    	8.327918e-01
0.00375545    	8.330778e-01
0.00378308    	8.330576e-01
0.00381108    	8.336816e-01
0.00383884    	8.341936e-01
0.00386684    	8.350435e-01
0.00389459    	8.352381e-01
0.0039226     	8.360490e-01
0.00395035    	8.363741e-01
0.00397797    	8.347028e-01
0.00400585    	8.337738e-01
0.00403348    	8.322841e-01
0.00406136    	8.312055e-01
0.00408911    	8.299542e-01
0.00411686    	8.277446e-01
0.00414474    	8.258840e-01
0.00417249    	8.229387e-01
0.00420051    	8.212711e-01
0.00422826    	8.185553e-01
0.00425628    	8.166279e-01
0.00428402    	8.137115e-01
0.00431191    	8.110382e-01
0.00433979    	8.084045e-01
0.00436767    	8.059320e-01
0.00439569    	8.037218e-01
0.00442358    	8.016353e-01
0.0044516     	7.993486e-01
0.00447948    	7.975458e-01
0.00450764    	7.960306e-01
0.00453552    	7.943839e-01
0.0045634     	7.910049e-01
0.00459143    	7.876226e-01
0.00461931    	7.842539e-01
0.00464719    	7.791544e-01
0.00467507    	7.741723e-01
0.00470295    	7.676949e-01
0.00473082    	7.618074e-01
0.00475885    	7.566025e-01
0.00478673    	7.516089e-01
0.00481476    	7.462024e-01
0.00484264    	7.402202e-01
0.00487067    	7.333951e-01
0.00489869    	7.272368e-01
0.00492657    	7.206741e-01
0.0049546     	7.134520e-01
0.00498248    	7.051836e-01
0.00501051    	6.961310e-01
0.00503854    	6.876774e-01
0.00506657    	6.809012e-01
0.0050946     	6.728683e-01
0.00512263    	6.655051e-01
0.00515066    	6.565924e-01
0.00517869    	6.491292e-01
0.00520672    	6.402211e-01
0.00523475    	6.323992e-01
0.00526278    	6.225399e-01
0.00529082    	6.133737e-01
0.00531885    	6.023190e-01
0.00534688    	5.918327e-01
0.00537491    	5.801620e-01
0.00540311    	5.705525e-01
0.00543114    	5.614471e-01
0.00545917    	5.514160e-01
0.0054872     	5.399540e-01
0.0055154     	5.303496e-01
0.00554343    	5.202105e-01
0.00557146    	5.093570e-01
0.00559949    	4.966374e-01
0.0056277     	4.863156e-01
0.00565573    	4.756668e-01
0.00568375    	4.638667e-01
0.00571178    	4.511882e-01
0.00573999    	4.404738e-01
0.00576802    	4.308215e-01
0.00579623    	4.205191e-01
0.00582426    	4.095163e-01
0.00585247    	3.987029e-01
0.00588069    	3.883348e-01
0.00590871    	3.766056e-01
0.00593693    	3.635342e-01
0.00596495    	3.511476e-01
0.00599316    	3.405906e-01
0.00602118    	3.291372e-01
0.0060494     	3.192296e-01
0.00607742    	3.072219e-01
0.00610544    	2.956631e-01
0.00613346    	2.823177e-01
0.00616148    	2.705426e-01
0.00618949    	2.557719e-01
0.00621751    	2.461402e-01
0.00624553    	2.325959e-01
0.00627355    	2.225576e-01
0.00630157    	2.123767e-01
0.00632938    	2.001028e-01
0.00635718    	1.888381e-01
0.00638499    	1.735394e-01
0.00641259    	1.646111e-01
0.00644018    	1.475321e-01
0.00646757    	1.376556e-01
0.00649495    	1.209945e-01
0.00652212    	1.074683e-01
0.00654929    	9.866456e-02
0.00657625    	8.455462e-02
0.00660321    	7.679397e-02
0.00663017    	6.491265e-02
0.00665691    	5.565427e-02
0.00668366    	5.008771e-02
0.0067104     	4.306925e-02
0.00673693    	3.767349e-02
0.00676346    	3.312324e-02
0.00678977    	2.849769e-02
0.00681609    	2.555214e-02
0.0068424     	2.358594e-02
0.00686849    	2.130794e-02
0.00689459    	2.004566e-02
0.00692069    	1.829430e-02
0.00694678    	1.607667e-02
0.00697266    	1.463724e-02
0.00699853    	1.429043e-02
0.00702441    	1.424274e-02
0.00705006    	1.406879e-02
0.00707571    	1.436641e-02
0.00710136    	1.376513e-02
0.00712679    	1.258810e-02
0.00715221    	1.308397e-02
0.00717764    	1.259316e-02
0.00720307    	1.253096e-02
0.00722827    	1.346797e-02
0.00725346    	1.309198e-02
0.00727866    	1.314926e-02
0.00730386    	1.299619e-02
0.00732882    	1.221812e-02
0.00735379    	1.361503e-02
0.00737875    	1.323919e-02
0.00740372    	1.347617e-02
0.00742844    	1.237549e-02
0.00745317    	1.263998e-02
0.0074779     	1.254415e-02
0.00750262    	1.364433e-02
0.00752711    	1.304994e-02
0.00755159    	1.309338e-02
0.00757607    	1.238108e-02
0.00760056    	1.391887e-02
0.00762504    	1.332827e-02
0.00764928    	1.336025e-02
0.00767351    	1.306788e-02
0.00769774    	1.296037e-02
0.00772198    	1.292915e-02
0.00774621    	1.308357e-02
0.00777019    	1.383778e-02
0.00779417    	1.338481e-02
0.00781814    	1.211088e-02
0.00784212    	1.293517e-02
0.0078661     	1.255732e-02
0.00789007    	1.289464e-02
0.00791405    	1.225440e-02
0.00793775    	1.273923e-02
0.00796146    	1.217934e-02
0.00798516    	1.250018e-02
0.00800886    	1.223409e-02
0.00803257    	1.226096e-02
0.00805627    	1.223354e-02
0.00807998    	1.315085e-02
0.00810339    	1.217804e-02
0.00812681    	1.153476e-02
0.00815022    	1.172642e-02
0.00817364    	1.179291e-02
0.00819705    	1.182068e-02
0.00822047    	1.274377e-02
0.00824388    	1.210375e-02
0.0082673     	1.186549e-02
0.0082904     	1.103259e-02
0.0083135     	1.127344e-02
0.0083366     	1.141779e-02
0.00835971    	1.144678e-02
0.00838281    	1.143926e-02
0.00840591    	1.162696e-02
0.00842901    	1.126871e-02
0.00845178    	1.066107e-02
0.00847455    	1.098674e-02
0.00849732    	1.097384e-02
0.00852009    	1.093036e-02
0.00854285    	1.090098e-02
0.00856562    	1.098849e-02
0.00858839    	1.091054e-02
0.00861116    	1.095687e-02
0.00863356    	1.033981e-02
0.00865596    	1.061204e-02
0.00867836    	1.043407e-02
0.00870076    	1.037162e-02
0.00872316    	1.037509e-02
0.00874556    	1.035113e-02
0.00876796    	1.024446e-02
0.00879036    	1.030234e-02
0.00881276    	1.023721e-02
0.00883475    	9.689584e-03
0.00885674    	9.757713e-03
0.00887872    	1.000124e-02
0.00890071    	9.800226e-03
0.00892269    	1.005968e-02
0.00894468    	9.677156e-03
0.00896667    	9.743829e-03
0.00898865    	9.585053e-03
0.00901064    	9.693455e-03
0.00903262    	9.562262e-03
0.00905461    	9.691647e-03
0.00907659    	9.317688e-03
0.00909807    	9.254166e-03
0.00911954    	9.262145e-03
0.00914102    	9.289914e-03
0.00916249    	9.301110e-03
0.00918397    	9.267944e-03
0.00920544    	9.376102e-03
0.00922692    	9.044094e-03
0.00924839    	9.000380e-03
0.00926987    	8.952476e-03
0.00929134    	9.002756e-03
0.00931281    	8.883127e-03
0.00933429    	8.935771e-03
0.00935576    	8.811196e-03
0.00937724    	8.750119e-03
0.00939871    	8.708968e-03
0.00942019    	8.860686e-03
0.00944166    	8.675604e-03
0.00946234    	8.506994e-03
0.00948302    	8.356235e-03
0.0095037     	8.521921e-03
0.00952438    	8.337141e-03
0.00954506    	8.660558e-03
0.00956574    	8.227403e-03
0.00958642    	8.268937e-03
0.0096071     	8.134934e-03
0.00962777    	8.263289e-03
0.00964845    	8.117025e-03
0.00966913    	8.227209e-03
0.00968981    	8.065179e-03
0.00971049    	8.137172e-03
0.00973117    	8.019768e-03
0.00975185    	8.088136e-03
0.00977253    	7.938557e-03
0.00979321    	8.092417e-03
0.00981389    	8.059116e-03
0.00983457    	8.103840e-03
0.00985525    	8.081947e-03
0.00987592    	8.106740e-03
0.0098966     	8.067079e-03
0.00991728    	8.066050e-03
0.00993796    	8.067582e-03
