# Residuals   
# Time        	p_rgh         
0             	N/A
1.19904e-06   	1.000000e+00
2.63616e-06   	7.928305e-03
4.35873e-06   	5.278113e-03
6.42437e-06   	4.868124e-03
8.90212e-06   	4.742848e-03
1.18695e-05   	5.793461e-03
1.54239e-05   	6.381830e-03
1.96861e-05   	6.526801e-03
2.47919e-05   	6.651748e-03
3.0887e-05    	6.611119e-03
3.81736e-05   	7.170572e-03
4.69174e-05   	8.308710e-03
5.73909e-05   	8.891881e-03
6.97936e-05   	9.175804e-03
8.41045e-05   	9.163862e-03
0.000100173   	8.965352e-03
0.000118169   	9.119580e-03
0.000137766   	9.070256e-03
0.000157818   	8.227551e-03
0.000178359   	7.706542e-03
0.0001989     	6.890649e-03
0.000219441   	6.445938e-03
0.000240537   	6.108531e-03
0.000261633   	5.905864e-03
0.00028335    	5.607822e-03
0.000305066   	5.361716e-03
0.000327484   	5.113051e-03
0.000349901   	4.848265e-03
0.000372318   	4.624219e-03
0.000395566   	4.697475e-03
0.000418813   	4.447513e-03
0.00044206    	4.348414e-03
0.000465308   	4.255468e-03
0.000489612   	4.330270e-03
0.000513916   	4.220424e-03
0.000538221   	4.109574e-03
0.000562525   	4.009170e-03
0.000586829   	3.905190e-03
0.000611133   	3.804233e-03
0.000635437   	3.719847e-03
0.000661477   	3.920441e-03
0.000687518   	3.853191e-03
0.000713558   	3.791014e-03
0.000739598   	3.728703e-03
0.000765638   	3.672222e-03
0.000791678   	3.602867e-03
0.000817719   	3.544553e-03
0.000843759   	3.458216e-03
0.000869799   	3.435603e-03
0.000895839   	3.357574e-03
0.000921879   	3.349682e-03
0.00094792    	3.279263e-03
0.00097396    	3.286223e-03
0.001         	3.230990e-03
0.00102857    	3.531479e-03
0.00105714    	3.551828e-03
0.00108571    	3.632399e-03
0.00111429    	3.837249e-03
0.00114381    	4.272428e-03
0.00117333    	5.073157e-03
0.00120286    	6.409241e-03
0.00123238    	8.855442e-03
0.0012619     	1.262983e-02
0.00129143    	1.935209e-02
0.00132095    	2.987918e-02
0.00135048    	4.770307e-02
0.00138       	7.666139e-02
0.00140818    	1.194318e-01
0.00143777    	1.865189e-01
0.00146455    	2.720977e-01
0.00149273    	3.687411e-01
0.00151809    	4.575082e-01
0.00153904    	4.645481e-01
0.00156209    	4.021972e-01
0.00158785    	3.809617e-01
0.00161533    	4.400073e-01
0.00163557    	4.523579e-01
0.00165835    	3.803972e-01
0.00168275    	3.260457e-01
0.00170919    	3.458098e-01
0.00173827    	4.270459e-01
0.00176008    	4.742256e-01
0.00178407    	4.531781e-01
0.00181106    	4.553439e-01
0.00183468    	4.865628e-01
0.0018583     	4.807327e-01
0.00188192    	4.552411e-01
0.00190553    	4.289513e-01
0.00192915    	4.037246e-01
0.00195277    	3.786273e-01
0.00197638    	3.549694e-01
0.002         	3.327338e-01
0.00202632    	3.359212e-01
0.00205582    	4.045625e-01
0.00208003    	4.713761e-01
0.00210194    	4.596040e-01
0.00212621    	4.060131e-01
0.00215351    	4.040163e-01
0.00217841    	4.366304e-01
0.00220061    	4.226388e-01
0.00222484    	3.715158e-01
0.00225157    	3.544020e-01
0.0022783     	3.843601e-01
0.00230158    	3.917645e-01
0.00232745    	3.735296e-01
0.00235435    	3.785106e-01
0.00237826    	3.838595e-01
0.00240417    	3.668259e-01
0.00243125    	3.691891e-01
0.00245598    	3.736994e-01
0.00248188    	3.624723e-01
0.00251067    	3.743879e-01
0.00253397    	3.783633e-01
0.00255986    	3.445798e-01
0.0025892     	3.417579e-01
0.00261855    	3.964601e-01
0.00264098    	4.042438e-01
0.00266663    	3.441019e-01
0.00269441    	3.066421e-01
0.00272497    	3.418131e-01
0.00275553    	4.214193e-01
0.00277997    	4.596467e-01
0.00280748    	4.504867e-01
0.00283498    	4.482847e-01
0.00286248    	4.641764e-01
0.00288999    	4.787227e-01
0.00291749    	4.912684e-01
0.00294499    	5.030427e-01
0.0029725     	5.139606e-01
0.003         	5.244304e-01
0.00302632    	5.228056e-01
0.00305495    	5.234347e-01
0.00308275    	5.401067e-01
0.00310896    	5.444973e-01
0.0031377     	5.440277e-01
0.00316465    	5.519804e-01
0.00319249    	5.610331e-01
0.00321941    	5.629541e-01
0.00324832    	5.778288e-01
0.00327424    	5.859892e-01
0.00330215    	5.824677e-01
0.00332899    	5.790069e-01
0.0033548     	5.618530e-01
0.00338061    	5.169435e-01
0.00340642    	4.638088e-01
0.00343223    	4.158306e-01
0.00345803    	3.732109e-01
0.00348384    	3.355403e-01
0.00350965    	3.016965e-01
0.00353689    	2.830483e-01
0.00356262    	2.730520e-01
0.00358835    	2.538752e-01
0.00361579    	2.403377e-01
0.0036414     	2.351866e-01
0.00366702    	2.189018e-01
0.00369477    	2.080711e-01
0.0037202     	2.051207e-01
0.00374818    	2.037813e-01
0.00377336    	1.998430e-01
0.00379855    	1.804440e-01
0.00382373    	1.521785e-01
0.00384891    	1.281820e-01
0.00387409    	1.077367e-01
0.00389927    	9.027867e-02
0.00392445    	7.551903e-02
0.00394964    	6.304987e-02
0.00397482    	5.259816e-02
0.004         	4.385874e-02
0.00402857    	4.051668e-02
0.00405991    	4.832381e-02
0.00409473    	7.447640e-02
0.00412825    	1.252971e-01
0.00415731    	1.822440e-01
0.0041845     	2.164844e-01
0.00421168    	2.279867e-01
0.00423886    	2.328386e-01
0.00426605    	2.375675e-01
0.00429323    	2.413997e-01
0.00432041    	2.446687e-01
0.0043476     	2.468581e-01
0.00437478    	2.484469e-01
0.00440196    	2.491603e-01
0.00442915    	2.491837e-01
0.00445633    	2.481403e-01
0.00448351    	2.464200e-01
0.0045107     	2.436571e-01
0.00453788    	2.402636e-01
0.00456506    	2.359505e-01
0.00459225    	2.311090e-01
0.00461943    	2.254958e-01
0.00464662    	2.194537e-01
0.00467606    	2.266285e-01
0.00470306    	2.391798e-01
